File,Location,Direct Dependencies
migrate-configuration.sh,tappaas-cicd/manager/site-manager/,common-install-routines.sh
repository.sh,tappaas-cicd/manager/site-manager/,
validate-configuration.sh,tappaas-cicd/manager/site-manager/,common-install-routines.sh
validate-site.sh,tappaas-cicd/manager/site-manager/,common-install-routines.sh; validate-configuration.sh; user-setup.sh; site.json
install.sh,tappaas-cicd/manager/site-manager/,site-manager; validate-site.sh
test-create-site.sh,tappaas-cicd/manager/site-manager/,create-site.sh; validate-site.sh
test.sh,tappaas-cicd/manager/site-manager/,migrate-configuration.sh; validate-site.sh
update.sh,tappaas-cicd/manager/site-manager/,common-install-routines.sh
#
# === tappaas-cicd/manager/environment-manager (TS manager: environment-manager) ===
src/main.ts,tappaas-cicd/manager/environment-manager/,network-manager; module-manager; validate-environment.sh; reconcile-module; site.json; zones.json; environments
src/bootstrap.ts,tappaas-cicd/manager/environment-manager/,create-minimal-environments.sh
src/clients.ts,tappaas-cicd/manager/environment-manager/,module-manager; network-manager; delete-module.sh
src/config.ts,tappaas-cicd/manager/environment-manager/,validate-environment.sh; site.json; zones.json; environments
src/reconcile.ts,tappaas-cicd/manager/environment-manager/,
src/validate.ts,tappaas-cicd/manager/environment-manager/,validate-environment.sh
src/types.ts,tappaas-cicd/manager/environment-manager/,
create-minimal-environments.sh,tappaas-cicd/manager/environment-manager/,common-install-routines.sh; user-setup.sh
validate-environment.sh,tappaas-cicd/manager/environment-manager/,common-install-routines.sh; validate-site.sh; zones.json
install.sh,tappaas-cicd/manager/environment-manager/,environment-manager; validate.sh
test.sh,tappaas-cicd/manager/environment-manager/,create-minimal-environments.sh; validate-environment.sh
update.sh,tappaas-cicd/manager/environment-manager/,
#
# === tappaas-cicd/manager/module-manager (TS manager: module-manager) ===
src/main.ts,tappaas-cicd/manager/module-manager/,install-module.sh; update-module.sh; delete-module.sh; reconcile-module.sh; test-module.sh; snapshot-vm.sh; copy-update-json.sh; validate-module.sh; inspect-vm.sh
src/client.ts,tappaas-cicd/manager/module-manager/,install-module.sh; update-module.sh; delete-module.sh; reconcile-module.sh; snapshot-vm.sh
src/config.ts,tappaas-cicd/manager/module-manager/,update-module.sh; site.json
src/validate.ts,tappaas-cicd/manager/module-manager/,validate-module.sh; validate-module-tier-source.sh
src/types.ts,tappaas-cicd/manager/module-manager/,
copy-update-json.sh,tappaas-cicd/manager/module-manager/,common-install-routines.sh; convert-json-to-config.sh
delete-module.sh,tappaas-cicd/manager/module-manager/,common-install-routines.sh; inspect-cluster.sh
install-module.sh,tappaas-cicd/manager/module-manager/,common-install-routines.sh; copy-update-json.sh; validate-module-tier-source.sh
module-format.sh,tappaas-cicd/manager/module-manager/,common-install-routines.sh
reconcile-module.sh,tappaas-cicd/manager/module-manager/,common-install-routines.sh; install-module.sh; update-module.sh
snapshot-vm.sh,tappaas-cicd/manager/module-manager/,common-install-routines.sh; update-module.sh; update-os.sh
update-module.sh,tappaas-cicd/manager/module-manager/,common-install-routines.sh; apply-json-merge.sh; snapshot-vm.sh
validate-module.sh,tappaas-cicd/manager/module-manager/,
validate-module-tier-source.sh,tappaas-cicd/manager/module-manager/,common-install-routines.sh
test-validate-module-tier-source.sh,tappaas-cicd/manager/module-manager/,validate-module-tier-source.sh
install.sh,tappaas-cicd/manager/module-manager/,module-manager; validate.sh
test.sh,tappaas-cicd/manager/module-manager/,copy-update-json.sh; delete-module.sh; install-module.sh; validate-module.sh; validate-module-tier-source.sh; validate.sh
update.sh,tappaas-cicd/manager/module-manager/,
#
# === tappaas-cicd/manager/network-manager (TS manager: network-manager) ===
src/main.ts,tappaas-cicd/manager/network-manager/,zone-manager; proxmox-controller; switch-controller; ap-controller; scp; site.json; zones.json
src/distribute.ts,tappaas-cicd/manager/network-manager/,Create-TAPPaaS-VM.sh; scp
src/planes.ts,tappaas-cicd/manager/network-manager/,zone-manager; proxmox-controller; switch-controller; ap-controller
src/reconcile.ts,tappaas-cicd/manager/network-manager/,zones.json
src/zones.ts,tappaas-cicd/manager/network-manager/,zones.json
src/zonelifecycle.ts,tappaas-cicd/manager/network-manager/,zones.json
src/zonescheck.ts,tappaas-cicd/manager/network-manager/,zones.json
src/zonesinit.ts,tappaas-cicd/manager/network-manager/,zones.json
src/zonesmerge.ts,tappaas-cicd/manager/network-manager/,zones.json
src/types.ts,tappaas-cicd/manager/network-manager/,
zone-controller.sh,tappaas-cicd/manager/network-manager/,common-install-routines.sh
zone-state.sh,tappaas-cicd/manager/network-manager/,common-install-routines.sh
install.sh,tappaas-cicd/manager/network-manager/,network-manager; zone-state.sh; zone-controller.sh
validate.sh,tappaas-cicd/manager/network-manager/,
test.sh,tappaas-cicd/manager/network-manager/,zone-controller.sh; zone-state.sh
update.sh,tappaas-cicd/manager/network-manager/,
#
# === tappaas-cicd/manager/health-manager (TS manager: health-manager) ===
src/main.ts,tappaas-cicd/manager/health-manager/,update-os.sh; inspect-cluster.sh; inspect-vm.sh; check-disk-threshold.sh; backup-status.sh; site.json
src/checks.ts,tappaas-cicd/manager/health-manager/,check-disk-threshold.sh; backup-status.sh
src/inspect.ts,tappaas-cicd/manager/health-manager/,inspect-cluster.sh; inspect-vm.sh
src/client.ts,tappaas-cicd/manager/health-manager/,inspect-cluster.sh; inspect-vm.sh; check-disk-threshold.sh
src/config.ts,tappaas-cicd/manager/health-manager/,inspect-cluster.sh; inspect-vm.sh; site.json
src/types.ts,tappaas-cicd/manager/health-manager/,
check-backup-status.sh,tappaas-cicd/manager/health-manager/,backup-manager; backup-status.sh
check-disk-threshold.sh,tappaas-cicd/manager/health-manager/,
inspect-cluster.sh,tappaas-cicd/manager/health-manager/,common-install-routines.sh
inspect-vm.sh,tappaas-cicd/manager/health-manager/,common-install-routines.sh; vm-net.sh
update-os.sh,tappaas-cicd/manager/health-manager/,common-install-routines.sh
install.sh,tappaas-cicd/manager/health-manager/,health-manager; update-os.sh; validate.sh
test.sh,tappaas-cicd/manager/health-manager/,validate.sh
update.sh,tappaas-cicd/manager/health-manager/,
#
# === tappaas-cicd/manager/backup-manager (TS manager: backup-manager) ===
src/main.ts,tappaas-cicd/manager/backup-manager/,backup-controller; backup-status.sh; backup-restore.sh; validate-backup.sh; site.json
src/client.ts,tappaas-cicd/manager/backup-manager/,backup-controller
src/restore.ts,tappaas-cicd/manager/backup-manager/,backup-controller; backup-restore.sh
src/reconcile.ts,tappaas-cicd/manager/backup-manager/,
src/modify.ts,tappaas-cicd/manager/backup-manager/,
src/validate.ts,tappaas-cicd/manager/backup-manager/,validate-backup.sh
src/config.ts,tappaas-cicd/manager/backup-manager/,site.json
src/types.ts,tappaas-cicd/manager/backup-manager/,
backup-manager.sh,tappaas-cicd/manager/backup-manager/,lib-cascade.sh; backup-status.sh; backup-restore.sh; backup-controller
backup-restore.sh,tappaas-cicd/manager/backup-manager/,backup-controller
backup-status.sh,tappaas-cicd/manager/backup-manager/,lib-cascade.sh
lib-cascade.sh,tappaas-cicd/manager/backup-manager/,install-module.sh; backup-status.sh
validate-backup.sh,tappaas-cicd/manager/backup-manager/,lib-cascade.sh
validate.sh,tappaas-cicd/manager/backup-manager/,validate-backup.sh
install.sh,tappaas-cicd/manager/backup-manager/,backup-manager; backup-status.sh; backup-restore.sh; validate-backup.sh; backup-controller; validate.sh
test.sh,tappaas-cicd/manager/backup-manager/,backup-status.sh; backup-controller
update.sh,tappaas-cicd/manager/backup-manager/,
#
# === tappaas-cicd/manager/TEMPLATE ===
manager.sh,tappaas-cicd/manager/TEMPLATE/,
install.sh,tappaas-cicd/manager/TEMPLATE/,validate.sh
test.sh,tappaas-cicd/manager/TEMPLATE/,
update.sh,tappaas-cicd/manager/TEMPLATE/,
validate.sh,tappaas-cicd/manager/TEMPLATE/,
#
# === tappaas-cicd/controller (component dispatchers) ===
install.sh,tappaas-cicd/controller/,
test.sh,tappaas-cicd/controller/,
update.sh,tappaas-cicd/controller/,
#
# === tappaas-cicd/controller/proxmox-controller ===
migrate-node.sh,tappaas-cicd/controller/proxmox-controller/,common-install-routines.sh
migrate-vm.sh,tappaas-cicd/controller/proxmox-controller/,common-install-routines.sh
resize-disk.sh,tappaas-cicd/controller/proxmox-controller/,common-install-routines.sh
test-proxmox-manager.sh,tappaas-cicd/controller/proxmox-controller/,zones.json
install.sh,tappaas-cicd/controller/proxmox-controller/,validate.sh
test.sh,tappaas-cicd/controller/proxmox-controller/,
update.sh,tappaas-cicd/controller/proxmox-controller/,
#
# === tappaas-cicd/controller/switch-controller ===
switch-controller,tappaas-cicd/controller/switch-controller/,zones.json
setup-switches.sh,tappaas-cicd/controller/switch-controller/,common-install-routines.sh; install-module.sh
test-setup-switches.sh,tappaas-cicd/controller/switch-controller/,setup-switches.sh
test-switch-controller.sh,tappaas-cicd/controller/switch-controller/,switch-controller; zones.json
install.sh,tappaas-cicd/controller/switch-controller/,validate.sh
test.sh,tappaas-cicd/controller/switch-controller/,
update.sh,tappaas-cicd/controller/switch-controller/,
#
# === tappaas-cicd/controller/ap-controller ===
ap-controller,tappaas-cicd/controller/ap-controller/,zones.json
setup-wlan-secrets.sh,tappaas-cicd/controller/ap-controller/,common-install-routines.sh; zones.json
test-ap-manager.sh,tappaas-cicd/controller/ap-controller/,zones.json
test-setup-wlan-secrets.sh,tappaas-cicd/controller/ap-controller/,setup-wlan-secrets.sh
install.sh,tappaas-cicd/controller/ap-controller/,validate.sh
test.sh,tappaas-cicd/controller/ap-controller/,
update.sh,tappaas-cicd/controller/ap-controller/,
#
# === tappaas-cicd/controller/identity-controller ===
install.sh,tappaas-cicd/controller/identity-controller/,common-install-routines.sh
test.sh,tappaas-cicd/controller/identity-controller/,
update.sh,tappaas-cicd/controller/identity-controller/,
#
# === tappaas-cicd/controller/backup-controller ===
install.sh,tappaas-cicd/controller/backup-controller/,backup-controller
test.sh,tappaas-cicd/controller/backup-controller/,backup-controller
update.sh,tappaas-cicd/controller/backup-controller/,
#
# === tappaas-cicd/controller/TEMPLATE ===
controller.sh,tappaas-cicd/controller/TEMPLATE/,
install.sh,tappaas-cicd/controller/TEMPLATE/,
test.sh,tappaas-cicd/controller/TEMPLATE/,
update.sh,tappaas-cicd/controller/TEMPLATE/,
#
# === tappaas-cicd/controller/opnsense-controller (Python pkg: opnsense_controller) ===
__init__.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,acme_manager.py; caddy_manager.py; config.py; dhcp_manager.py; firewall_manager.py; vlan_manager.py; zone_manager.py
acme_cli.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,acme_manager.py; config.py
acme_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py
caddy_cli.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,caddy_manager.py; config.py
caddy_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py
config.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,
dhcp_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py
dns_manager_cli.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py; dhcp_manager.py
firewall_cli.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py; firewall_manager.py
firewall_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py
log.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,
main.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py; dhcp_manager.py; firewall_manager.py; vlan_manager.py
nat_cli.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py; nat_manager.py
nat_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py
rules_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py; firewall_manager.py; log.py; vlan_manager.py; copy-update-json.sh; zones.json
syslog_cli.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py; syslog_manager.py
syslog_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py
test_network_cli.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,
test_network_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,
unbound_cli.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py; dhcp_manager.py
vlan_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py
zone_manager.py,tappaas-cicd/controller/opnsense-controller/src/opnsense_controller/,config.py; dhcp_manager.py; firewall_manager.py; log.py; vlan_manager.py; zones.json
#
# === tappaas-cicd/controller/opnsense-controller/src/test ===
__init__.py,tappaas-cicd/controller/opnsense-controller/src/test/,
test_acme_manager.py,tappaas-cicd/controller/opnsense-controller/src/test/,
test_caddy_manager.py,tappaas-cicd/controller/opnsense-controller/src/test/,
test_dhcp_manager.py,tappaas-cicd/controller/opnsense-controller/src/test/,
test_dns_manager_cli.py,tappaas-cicd/controller/opnsense-controller/src/test/,
test_rules_manager.py,tappaas-cicd/controller/opnsense-controller/src/test/,
test_zone_manager.py,tappaas-cicd/controller/opnsense-controller/src/test/,
#
# === tappaas-cicd/controller/identity-controller (Python pkg: identity_controller) ===
__init__.py,tappaas-cicd/controller/identity-controller/src/identity_controller/,authentik_manager.py
authentik_cli.py,tappaas-cicd/controller/identity-controller/src/identity_controller/,authentik_manager.py; people_primitives.py
authentik_manager.py,tappaas-cicd/controller/identity-controller/src/identity_controller/,
people_primitives.py,tappaas-cicd/controller/identity-controller/src/identity_controller/,
#
# === tappaas-cicd/controller/identity-controller/src/test ===
__init__.py,tappaas-cicd/controller/identity-controller/src/test/,
test_authentik_manager.py,tappaas-cicd/controller/identity-controller/src/test/,
test_people_primitives.py,tappaas-cicd/controller/identity-controller/src/test/,
#
# === tappaas-cicd/update-tappaas (Python pkg: update_tappaas) ===
__init__.py,tappaas-cicd/update-tappaas/src/update_tappaas/,
main.py,tappaas-cicd/update-tappaas/src/update_tappaas/,update-module.sh; reboot-cluster.sh; site.json
#
# === tappaas-cicd/opnsense-patch ===
apply-caddy-isdnsname.sh,tappaas-cicd/opnsense-patch/,
InterfaceAssignController.php,tappaas-cicd/opnsense-patch/,
#
# === tappaas-cicd/test-variants ===
test.sh,tappaas-cicd/test-variants/,
test-variant-config.sh,tappaas-cicd/test-variants/,common-install-routines.sh
test-variant-dns.sh,tappaas-cicd/test-variants/,common-install-routines.sh
test-variant-install.sh,tappaas-cicd/test-variants/,common-install-routines.sh; copy-update-json.sh; install-module.sh; delete-module.sh
test-variant-zone-node.sh,tappaas-cicd/test-variants/,common-install-routines.sh; delete-module.sh; install-module.sh; zone-controller; zones.json
#
# === tappaas-cicd/test-vm-creation ===
install.sh,tappaas-cicd/test-vm-creation/,common-install-routines.sh
test-reinstall.sh,tappaas-cicd/test-vm-creation/,common-install-routines.sh; delete-module.sh; install-module.sh
test-rollback.sh,tappaas-cicd/test-vm-creation/,common-install-routines.sh; lib.sh; delete-module.sh; install-module.sh; update-module.sh
test.sh,tappaas-cicd/test-vm-creation/,install-module.sh; delete-module.sh
test-variant.sh,tappaas-cicd/test-vm-creation/,common-install-routines.sh; copy-update-json.sh
test-vm.sh,tappaas-cicd/test-vm-creation/,common-install-routines.sh
#
# === tappaas-cicd/test-vm-creation/rollback-fixture ===
install.sh,tappaas-cicd/test-vm-creation/rollback-fixture/,common-install-routines.sh; lib.sh
lib.sh,tappaas-cicd/test-vm-creation/rollback-fixture/,update-module.sh; snapshot-vm.sh
test.sh,tappaas-cicd/test-vm-creation/rollback-fixture/,common-install-routines.sh; lib.sh; update-module.sh
update.sh,tappaas-cicd/test-vm-creation/rollback-fixture/,common-install-routines.sh; lib.sh; update-module.sh
#
# === tappaas-cicd/test-repository ===
test.sh,tappaas-cicd/test-repository/,repository.sh
#
# === network (top level) ===
config-firewall.sh,network/,network.json
migrate-firewall-to-network.sh,network/,common-install-routines.sh; dns-manager
update.sh,network/,common-install-routines.sh; zone-manager; network.json
test.sh,network/,common-install-routines.sh; vm-net.sh; opnsense-firewall; zone-manager; dns-manager; caddy-manager; rules-manager; zone-reconcile; delete-module.sh; network.json; zones.json
test-network.sh,network/,common-install-routines.sh; test-network-manager; network.json
test-caddy-public.sh,network/,common-install-routines.sh; install-module.sh; delete-module.sh
test-variant-public.sh,network/,common-install-routines.sh; vm-net.sh; zone-controller; install-module.sh; delete-module.sh; unbound-manager; network.json; zones.json
#
# === network/scripts ===
test-unifi-plugin.sh,network/scripts/,unifi.sh
#
# === network/scripts/plugins ===
manual.sh,network/scripts/plugins/,
unifi.sh,network/scripts/plugins/,
#
# === network/scripts/switch-controller (TS S-TS pilot port; not yet the linked bin) ===
src/main.ts,network/scripts/switch-controller/,zones.json
#
# === network/services/proxy ===
access-list.sh,network/services/proxy/,caddy-manager; zones.json
install-service.sh,network/services/proxy/,common-install-routines.sh; access-list.sh; caddy-manager; unbound-manager; site.json; network.json; zones.json
update-service.sh,network/services/proxy/,common-install-routines.sh; access-list.sh; caddy-manager; site.json; network.json; zones.json
delete-service.sh,network/services/proxy/,common-install-routines.sh; caddy-manager; unbound-manager; site.json; network.json
test-service.sh,network/services/proxy/,common-install-routines.sh; caddy-manager; site.json; network.json
#
# === network/services/rules ===
install-service.sh,network/services/rules/,common-install-routines.sh; rules-manager; network.json
update-service.sh,network/services/rules/,common-install-routines.sh; rules-manager; network.json
delete-service.sh,network/services/rules/,common-install-routines.sh; rules-manager; network.json
test-service.sh,network/services/rules/,common-install-routines.sh; rules-manager; network.json
#
# === network/services/nat ===
nat-common.sh,network/services/nat/,nat-manager
install-service.sh,network/services/nat/,common-install-routines.sh; nat-common.sh; nat-manager; network.json
update-service.sh,network/services/nat/,common-install-routines.sh; nat-common.sh; nat-manager; network.json
delete-service.sh,network/services/nat/,common-install-routines.sh; nat-common.sh; nat-manager; network.json
test-service.sh,network/services/nat/,common-install-routines.sh; nat-common.sh; nat-manager; network.json
#
# === network/services/dns ===
install-service.sh,network/services/dns/,common-install-routines.sh; dns-manager; network.json
update-service.sh,network/services/dns/,common-install-routines.sh
delete-service.sh,network/services/dns/,common-install-routines.sh; dns-manager; network.json
test-service.sh,network/services/dns/,common-install-routines.sh; dns-manager; network.json
#
# === network/services/discovery ===
install-service.sh,network/services/discovery/,common-install-routines.sh; network.json
update-service.sh,network/services/discovery/,
delete-service.sh,network/services/discovery/,common-install-routines.sh; network.json
test-service.sh,network/services/discovery/,common-install-routines.sh; network.json
#
# === network/test-fixtures/test-fw-c/services/web ===
install-service.sh,network/test-fixtures/test-fw-c/services/web/,common-install-routines.sh
update-service.sh,network/test-fixtures/test-fw-c/services/web/,common-install-routines.sh
delete-service.sh,network/test-fixtures/test-fw-c/services/web/,common-install-routines.sh
#
# === network/test-fixtures/test-var-prov/services/svc ===
install-service.sh,network/test-fixtures/test-var-prov/services/svc/,common-install-routines.sh
update-service.sh,network/test-fixtures/test-var-prov/services/svc/,common-install-routines.sh
delete-service.sh,network/test-fixtures/test-var-prov/services/svc/,common-install-routines.sh
#
# === cluster ===
capture.sh,cluster/,
config-network.sh,cluster/,
config-storage.sh,cluster/,
Create-TAPPaaS-LXC.sh,cluster/,zones.json
Create-TAPPaaS-VM.sh,cluster/,zones.json
install-platform.sh,cluster/,Create-TAPPaaS-VM.sh; bootstrap.sh; install.sh
install.sh,cluster/,config-network.sh; config-storage.sh; config-firewall.sh; install-platform.sh; Create-TAPPaaS-VM.sh; Create-TAPPaaS-LXC.sh; zones.json
reboot-cluster.sh,cluster/,common-install-routines.sh; reboot-node-lib.sh; reboot-node.sh; site.json
reboot-node.sh,cluster/,common-install-routines.sh; reboot-node-lib.sh
sanity-check.sh,cluster/,
setup-realtek-nic.sh,cluster/,
setup-ssd-lifecycle.sh,cluster/,
test.sh,cluster/,common-install-routines.sh; vm-net.sh; test-vm-net.sh; install-module.sh; update-module.sh; delete-module.sh; dns-manager
update.sh,cluster/,common-install-routines.sh; Create-TAPPaaS-VM.sh; Create-TAPPaaS-LXC.sh; reboot-node.sh; zones.json; site.json
#
# === cluster/lib ===
reboot-node-lib.sh,cluster/lib/,
test-vm-net.sh,cluster/lib/,vm-net.sh; zones.json
vm-net.sh,cluster/lib/,zones.json
#
# === cluster/services/ha ===
install-service.sh,cluster/services/ha/,update-service.sh
update-service.sh,cluster/services/ha/,common-install-routines.sh; site.json
delete-service.sh,cluster/services/ha/,common-install-routines.sh
test-service.sh,cluster/services/ha/,common-install-routines.sh
#
# === cluster/services/lxc ===
install-service.sh,cluster/services/lxc/,common-install-routines.sh; Create-TAPPaaS-LXC.sh; dns-manager
update-service.sh,cluster/services/lxc/,common-install-routines.sh; dns-manager; zones.json
delete-service.sh,cluster/services/lxc/,common-install-routines.sh; delete-module.sh; dns-manager
test-service.sh,cluster/services/lxc/,common-install-routines.sh; zones.json
#
# === cluster/services/vm ===
install-service.sh,cluster/services/vm/,common-install-routines.sh; Create-TAPPaaS-VM.sh; install-module.sh; dns-manager
update-service.sh,cluster/services/vm/,common-install-routines.sh; vm-net.sh; dns-manager; zones.json
delete-service.sh,cluster/services/vm/,common-install-routines.sh; delete-module.sh; dns-manager
test-service.sh,cluster/services/vm/,common-install-routines.sh
#
# === backup ===
backup-manage.sh,backup/,common-install-routines.sh; backup.json
install.sh,backup/,common-install-routines.sh; pbs-job.sh; pbs-namespace.sh; dns-manager; backup.json
restore.sh,backup/,common-install-routines.sh; site.json; backup.json
update.sh,backup/,common-install-routines.sh; pbs-job.sh
#
# === backup/lib ===
pbs-job.sh,backup/lib/,backup.json
pbs-namespace.sh,backup/lib/,
test-pbs-job.sh,backup/lib/,pbs-job.sh
test-pbs-namespace.sh,backup/lib/,pbs-namespace.sh
#
# === backup/services/external ===
install-service.sh,backup/services/external/,common-install-routines.sh; pbs-job.sh; pbs-namespace.sh
update-service.sh,backup/services/external/,common-install-routines.sh; pbs-job.sh; pbs-namespace.sh
delete-service.sh,backup/services/external/,common-install-routines.sh; pbs-job.sh; pbs-namespace.sh
#
# === backup/services/remote ===
install-service.sh,backup/services/remote/,common-install-routines.sh; pbs-job.sh; pbs-namespace.sh
update-service.sh,backup/services/remote/,common-install-routines.sh; pbs-job.sh; pbs-namespace.sh
delete-service.sh,backup/services/remote/,common-install-routines.sh; pbs-job.sh; pbs-namespace.sh
#
# === backup/services/vm ===
install-service.sh,backup/services/vm/,common-install-routines.sh; pbs-job.sh
update-service.sh,backup/services/vm/,common-install-routines.sh; pbs-job.sh
delete-service.sh,backup/services/vm/,common-install-routines.sh; pbs-job.sh
test-service.sh,backup/services/vm/,common-install-routines.sh; backup.json
#
# === identity ===
install.sh,identity/,update.sh
update.sh,identity/,common-install-routines.sh; ensure-authentik-creds.sh; site.json
test.sh,identity/,common-install-routines.sh; install-module.sh; delete-module.sh
#
# === identity/lib ===
ensure-authentik-creds.sh,identity/lib/,authentik-manager; identity.json
#
# === identity/services/accessControl ===
install-service.sh,identity/services/accessControl/,common-install-routines.sh; ensure-authentik-creds.sh; authentik-manager
update-service.sh,identity/services/accessControl/,install-service.sh
delete-service.sh,identity/services/accessControl/,common-install-routines.sh
#
# === identity/services/identity ===
